$Base,$HostnameLookups,$KeepAlive,$EnableSendfile,$FollowSymLinks,$AccessLog,$ExtendedStatus,$InMemory,$Handle,$<performance
1,0,0,1,0,1,1,1,0,3175.9123704978883
1,0,1,1,0,1,0,1,0,3613.1481757869237
1,1,0,1,0,1,0,1,0,3399.7931332146536
1,0,1,1,0,1,1,1,0,3429.0914726094034
1,1,0,1,0,0,0,1,0,2433.0246959476694
1,1,1,1,0,0,0,1,0,2608.0585088830867
1,1,1,1,0,1,0,1,0,3652.6116229531704
1,1,0,1,0,0,1,1,0,2354.3744321261515
1,0,0,0,1,1,0,0,0,2257.6897511624934
1,1,0,1,0,1,1,1,0,3321.1428693931357
1,0,0,0,0,0,0,0,0,1477.974543283446
1,0,1,0,1,0,0,0,0,1465.955126830926
1,0,1,1,0,0,1,1,0,2384.5383585393197
1,0,0,1,0,1,0,1,0,3360.3296860484065
1,1,1,1,0,0,1,1,0,2529.768857434566
1,1,1,1,0,1,1,1,0,3574.3219715046507
1,0,0,1,1,0,0,1,0,2206.5080193934855
1,0,1,1,1,0,0,1,0,2381.5418323289023
1,0,0,1,1,0,1,1,0,2022.090703842967
1,0,1,1,1,0,1,1,0,2197.485129151383
1,1,0,1,1,0,0,1,0,2245.9714665597326
1,1,0,1,1,0,1,1,0,2167.3212027382147
1,1,1,1,1,0,0,1,0,2421.00527949515
1,0,1,0,1,1,0,0,0,2510.50824090101
1,1,1,1,1,0,1,1,0,2342.7156280466293
1,0,0,1,1,1,0,1,0,3173.2764566604696
1,0,1,1,1,1,0,1,0,3426.094946398987
1,1,0,1,1,1,0,1,0,3212.7399038267167
1,1,1,1,1,1,0,1,0,3465.5583935652335
1,0,0,1,1,1,1,1,0,2988.8591411099515
1,1,0,1,1,1,1,1,0,3134.089640005199
1,0,1,1,1,1,1,1,0,3242.0382432214665
1,1,1,1,1,1,1,1,0,3387.268742116714
1,0,0,0,0,0,0,0,1,1565.1898545352399
1,0,0,0,1,0,1,0,0,1190.7928114516913
1,0,0,0,0,0,1,0,1,1465.061352091422
1,0,0,0,0,1,0,0,1,2531.9582918022243
1,0,0,0,0,1,1,0,1,2431.8297893584063
1,0,0,0,1,0,0,0,1,1378.136625147303
1,0,0,0,1,1,0,0,1,2344.9050624142874
1,0,0,0,1,0,1,0,1,1278.008122703485
1,0,0,0,1,1,1,0,1,2244.7765599704694
1,0,0,1,0,0,0,0,1,2631.51408584149
1,0,0,1,0,0,1,0,1,2447.096770290972
1,0,0,1,1,0,0,0,1,2444.4608564535533
1,0,0,0,1,1,1,0,0,2157.5612487186754
1,0,0,1,1,0,1,0,1,2260.043540903035
1,0,0,1,0,1,0,0,1,3598.2825231084744
1,0,0,1,1,1,0,0,1,3411.2292937205375
1,0,0,1,0,1,1,0,1,3413.865207557956
1,0,0,1,1,1,1,0,1,3226.8119781700193
1,0,1,0,0,0,0,0,1,1740.223667470657
1,0,1,0,0,0,1,0,1,1640.4557773998367
1,0,1,0,0,1,0,0,1,2784.776781540741
1,0,1,0,0,1,1,0,1,2685.0088914699213
1,0,1,1,0,0,0,0,1,2806.547898776907
1,0,1,0,1,0,1,0,0,1366.1872367601059
1,0,1,1,0,1,0,0,1,3851.1010128469916
1,0,1,1,0,0,1,0,1,2622.4911955993875
1,0,1,1,0,1,1,0,1,3667.044309669471
1,0,1,0,1,0,0,0,1,1553.1704380827198
1,0,1,0,1,0,1,0,1,1453.4025480118996
1,0,1,1,1,0,0,0,1,2619.49466938897
1,0,1,1,1,0,1,0,1,2435.4379662114507
1,0,1,0,1,1,0,0,1,2597.723552152804
1,0,1,1,1,1,0,0,1,3664.0477834590547
1,0,1,0,1,1,1,0,1,2497.9556620819844
1,0,1,0,1,1,1,0,0,2410.7403508301904
1,0,1,1,1,1,1,0,1,3479.9910802815343
1,1,0,0,0,0,0,0,1,1701.626530986687
1,1,0,0,0,0,1,0,1,1707.2650802718688
1,1,0,0,0,1,0,0,1,2668.3949682536713
1,1,0,0,0,1,1,0,1,2674.033517538853
1,1,0,0,1,0,0,0,1,1514.57330159875
1,1,0,0,1,1,0,0,1,2481.3417388657344
1,1,0,0,1,0,1,0,1,1520.211850883932
1,1,0,0,1,1,1,0,1,2486.9802881509163
1,1,1,0,0,0,0,0,1,1876.660343922104
1,0,0,1,0,0,0,0,0,2544.298774589696
1,1,1,0,0,0,1,0,1,1882.6595055802838
1,1,1,0,1,0,0,0,1,1689.6071145341668
1,1,1,0,1,0,1,0,1,1695.606276192347
1,1,1,0,0,1,0,0,1,2921.213457992188
1,1,1,0,1,1,0,0,1,2734.160228604251
1,1,1,0,0,1,1,0,1,2927.212619650368
1,1,1,0,1,1,1,0,1,2740.1593902624313
1,1,0,1,0,0,0,0,1,2670.9775330077373
1,1,0,1,0,0,1,0,1,2592.3272691862194
1,1,0,1,0,1,0,0,1,3637.7459702747215
1,0,1,1,0,0,0,0,0,2719.332587525113
1,1,0,1,0,1,1,0,1,3559.0957064532035
1,1,1,1,0,0,0,0,1,2846.0113459431545
1,1,1,1,0,1,0,0,1,3890.564460013238
1,1,1,1,0,0,1,0,1,2767.721694494634
1,1,1,1,0,1,1,0,1,3812.2748085647186
1,1,0,1,1,0,0,0,1,2483.9243036198004
1,1,0,1,1,0,1,0,1,2405.2740397982825
1,1,1,1,1,0,0,0,1,2658.9581165552177
1,1,1,1,1,0,1,0,1,2580.668465106697
1,1,0,1,1,1,0,0,1,3450.6927408867846
1,0,0,1,0,0,1,0,0,2359.881459039178
1,1,1,1,1,1,0,0,1,3703.5112306253013
1,1,0,1,1,1,1,0,1,3372.0424770652667
1,1,1,1,1,1,1,0,1,3625.2215791767817
1,0,1,0,0,0,0,0,0,1653.0083562188631
1,0,1,1,0,0,1,0,0,2535.2758843475935
1,0,0,1,1,0,0,0,0,2357.2455452017593
1,0,0,1,1,0,1,0,0,2172.828229651241
1,0,1,1,1,0,0,0,0,2532.279358137176
1,0,1,1,1,0,1,0,0,2348.2226549596567
1,0,0,1,0,1,0,0,0,3511.0672118566804
1,0,1,1,0,1,0,0,0,3763.8857015951976
1,0,0,1,1,1,0,0,0,3324.0139824687435
1,0,1,1,1,1,0,0,0,3576.8324722072607
1,0,0,1,0,1,1,0,0,3326.649896306162
1,0,0,0,0,0,1,0,0,1377.8460408396281
1,0,0,1,1,1,1,0,0,3139.5966669182253
1,0,1,1,0,1,1,0,0,3579.828998417677
1,0,1,1,1,1,1,0,0,3392.7757690297403
