$a,$b,$c,$d,$e,$f,$g,$h,$i,$j,$k,$l,$m,$n,$<1,$<2,$<3
0,0,1.39367468,40,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,7892.807879000001
0,0,1.39367468,50,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,7220.085115999999
0,0,1.39367468,60,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6801.22
0,0,1.39367468,60,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,8214.02
0,0,1.39367468,70,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6515.327937
0,0,1.39367468,70,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,7678.366667
0,0,1.39367468,80,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6307.762465999999
0,0,1.39367468,80,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,7295.757143000001
0,0,1.39367468,90,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6150.212771
0,0,1.39367468,90,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,7008.8
0,0,1.39367468,100,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6026.544731
0,0,1.39367468,100,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,6785.611111
0,0,1.39367468,20,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,8249.314118
0,0,1.39367468,30,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,7045.901481
0,0,1.39367468,40,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,6492.982161999999
0,0,1.39367468,40,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,7892.807879000001
0,0,1.39367468,50,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,6175.34766
0,0,1.39367468,50,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,7220.085115999999
0,0,1.39367468,60,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5969.163860000001
0,0,1.39367468,60,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6801.22
0,0,1.39367468,60,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,8177.285306000001
0,0,1.39367468,70,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5824.527463
0,0,1.39367468,70,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6515.327937
0,0,1.39367468,70,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,7638.779322
0,0,1.39367468,80,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5717.458961
0,0,1.39367468,80,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6307.762465999999
0,0,1.39367468,80,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,7256.362029000001
0,0,1.39367468,80,80,1,2500,870,4,4000,8192,10000,1000000,1000000,11.04088359,0.1,8090.943077
0,0,1.39367468,90,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5635.003908
