$time_passes,$gvn,$instcombine,$inline,$jump_threading,$simplifycfg,$sccp,$print_used_types,$ipsccp,$iv_users,$licm,$<performance
1,0,0,0,0,0,0,0,0,0,0,38.4179044853383
1,0,0,0,0,0,1,0,0,1,0,62.3502855843184
1,0,0,1,0,1,0,0,1,1,0,113.7772278754959
1,0,1,1,1,1,0,1,1,1,1,157.2289103821401
1,1,1,1,1,1,0,0,0,0,1,145.2494285144554
1,1,1,1,1,1,0,0,0,1,1,182.0245572389035
1,1,1,1,1,1,0,1,0,0,1,130.10051313316518
1,1,1,1,1,1,0,1,0,1,1,166.8756418576133
1,1,1,1,1,1,0,0,1,0,1,153.6675430210743
1,1,1,1,1,1,0,1,1,0,1,138.51862763978409
1,1,1,1,1,1,0,0,1,1,1,190.4426717455224
1,1,1,1,1,1,0,1,1,1,1,175.2937563642322
1,0,1,1,1,1,1,0,0,0,1,114.34183490689529
1,0,0,1,0,1,0,1,0,0,0,53.43506926313869
1,0,1,1,1,1,1,0,0,1,1,151.1169636313434
1,0,1,1,1,1,1,0,1,0,1,122.75994941351419
1,0,1,1,1,1,1,0,1,1,1,159.5350781379623
1,1,1,1,1,1,1,0,0,0,1,132.40668088898738
1,1,1,1,1,1,1,0,1,0,1,140.8247953956063
1,1,1,1,1,1,1,0,0,1,1,169.1818096134355
1,1,1,1,1,1,1,0,1,1,1,177.5999241200544
1,0,1,1,1,1,1,1,0,0,1,99.19291952560509
1,0,1,1,1,1,1,1,0,1,1,135.9680482500532
1,1,1,1,1,1,1,1,0,0,1,117.25776550769719
1,0,0,1,0,1,0,1,1,0,0,61.85318376975759
1,1,1,1,1,1,1,1,0,1,1,154.03289423214528
1,0,1,1,1,1,1,1,1,0,1,107.611034032224
1,1,1,1,1,1,1,1,1,0,1,125.67588001431609
1,0,1,1,1,1,1,1,1,1,1,144.3861627566721
1,1,1,1,1,1,1,1,1,1,1,162.4510087387642
1,0,0,1,0,1,0,1,0,1,0,90.2101979875868
1,0,0,1,0,1,0,1,1,1,0,98.62831249420569
1,0,0,1,1,1,0,0,0,0,0,76.48599056272238
1,0,0,1,1,1,0,0,0,1,0,113.26111928717049
1,0,0,1,1,1,0,1,0,0,0,61.337075181432176
1,0,0,1,1,1,0,1,0,1,0,98.11220390588028
1,0,0,1,1,1,0,0,1,0,0,84.90410506934128
1,0,0,0,0,0,1,1,0,0,0,10.426241478580097
1,0,0,1,1,1,0,1,1,0,0,69.75518968805108
1,0,0,1,1,1,0,0,1,1,0,121.6792337937894
1,0,0,1,1,1,0,1,1,1,0,106.53031841249918
1,0,0,1,0,1,1,0,0,0,0,55.741237018960895
1,0,0,1,0,1,1,0,0,1,0,92.516365743409
1,0,0,1,0,1,1,0,1,0,0,64.1593515255798
1,0,0,1,0,1,1,0,1,1,0,100.93448025002789
1,0,0,1,1,1,1,0,0,0,0,63.64324293725438
1,0,0,1,1,1,1,0,1,0,0,72.06135744387328
1,0,0,1,1,1,1,0,0,1,0,100.41837166170248
1,0,0,0,0,0,1,1,0,1,0,47.2013702030282
1,0,0,1,1,1,1,0,1,1,0,108.83648616832139
1,0,0,1,0,1,1,1,0,0,0,40.59232163767069
1,0,0,1,0,1,1,1,0,1,0,77.3674503621188
1,0,0,1,1,1,1,1,0,0,0,48.494327555964176
1,0,0,1,1,1,1,1,0,1,0,85.26945628041227
